From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0001,1.76
C0001,C0002,1.86
C0001,C0003,1.88
C0001,C0004,1.8
C0001,C0005,1.69
C0001,C0006,1.84
C0001,C0007,1.91
C0001,C0008,1.67
C0001,C0009,1.78
C0001,C0010,1.86
C0001,C0011,1.86
C0001,C0012,1.65
C0001,C0013,1.74
C0001,C0014,1.67
C0001,C0015,1.75
C0001,C0016,1.83
C0001,C0017,1.86
C0001,C0019,2.03
C0001,C0020,2.01
C0001,C0021,1.46
C0001,C0022,1.9
C0001,C0023,2.02
C0001,C0024,1.59
C0001,C0025,1.86
C0001,C0026,1.9
C0001,C0027,1.99
C0001,C0028,1.97
C0001,C0029,1.63
C0001,C0030,1.92
C0001,C0031,1.7
C0001,C0032,1.85
C0001,C0033,1.64
C0001,C0034,1.89
C0001,C0035,1.63
C0001,C0036,1.78
C0001,C0037,2.2
C0001,C0038,1.86
C0001,C0039,2.08
C0001,C0040,2.0
C0001,C0041,1.76
C0001,C0042,1.98
C0001,C0043,2.18
C0001,C0044,1.99
C0001,C0045,1.63
C0001,C0046,1.68
C0001,C0047,1.57
C0001,C0048,2.09
C0001,C0049,1.64
C0001,C0050,1.68
C0001,C0051,1.83
C0001,C0052,1.86
C0001,C0053,1.6
C0001,C0054,1.58
C0001,C0055,1.64
C0001,C0056,1.6
C0001,C0057,1.72
C0001,C0058,1.67
C0001,C0059,1.78
C0001,C0060,1.81
C0001,C0061,1.77
C0001,C0062,1.63
C0001,C0063,1.62
C0001,C0064,1.66
C0001,C0065,1.78
C0001,C0066,1.71
C0001,C0067,1.92
C0001,C0068,1.93
C0001,C0069,1.63
C0001,C0070,1.65
C0001,C0071,1.5
C0001,C0072,1.61
C0001,C0073,1.51
C0001,C0074,1.41
C0001,C0075,1.85
C0001,C0076,2.1
C0001,C0077,1.73
C0001,C0078,1.67
C0001,C0079,1.96
C0001,C0080,2.09
C0001,C0081,2.0
C0001,C0082,2.04
C0001,C0083,1.95
C0001,C0084,1.61
C0001,C0085,1.71
C0001,C0086,1.66
C0001,C0087,1.83
C0001,C0088,1.48
C0001,C0089,1.75
C0001,C0090,1.76
C0001,C0091,2.04
C0001,C0092,1.74
C0001,C0093,1.73
C0001,C0094,1.83
C0001,C0095,1.77
C0001,C0096,1.72
C0001,C0097,1.6
C0001,C0098,1.59
C0001,C0099,1.78
C0001,C0100,1.9
C0001,C0101,1.62
C0001,C0102,2.07
C0001,C0103,1.66
C0001,C0104,1.64
C0001,C0105,1.56
C0001,C0106,1.67
C0001,C0107,1.59
C0001,C0108,1.53
C0001,C0109,1.59
C0001,C0110,1.76
C0001,C0111,1.73
C0001,C0112,1.95
C0001,C0113,2.03
C0001,C0114,1.59
C0001,C0115,1.69
C0001,C0116,1.66
C0001,C0117,1.88
C0001,C0118,1.77
C0001,C0119,1.75
C0001,C0120,1.63
C0001,C0121,1.89
C0001,C0122,1.59
C0001,C0123,1.68
C0001,C0124,1.66
C0001,C0125,1.93
C0001,C0126,1.99
C0001,C0127,1.85
C0001,C0128,1.59
C0001,C0129,1.72
C0001,C0130,1.79
C0001,C0131,1.71
C0001,C0132,1.78
C0001,C0133,1.95
C0001,C0134,1.83
C0001,C0135,1.89
C0001,C0136,1.83
C0001,C0137,2.03
C0001,C0138,1.81
C0001,C0139,1.73
C0001,C0140,1.89
C0001,C0141,1.75
C0001,C0142,1.85
C0001,C0143,1.76
C0001,C0144,1.74
C0001,C0145,1.75
C0001,C0146,1.71
C0002,C0001,1.96
C0002,C0002,1.53
C0002,C0003,2.41
C0002,C0004,1.63
C0002,C0005,1.67
C0002,C0006,2.96
C0002,C0007,2.82
C0002,C0008,1.7
C0002,C0009,1.49
C0002,C0010,1.73
C0002,C0011,2.4
C0002,C0013,1.51
C0002,C0014,1.79
C0002,C0015,1.61
C0002,C0016,2.28
C0002,C0017,1.53
C0002,C0020,2.48
C0002,C0021,1.75
C0002,C0027,2.0
C0002,C0029,1.69
C0002,C0031,1.5
C0002,C0034,1.67
C0002,C0035,4.25
C0002,C0037,4.33
C0002,C0038,2.14
C0002,C0039,2.58
C0002,C0040,1.67
C0002,C0042,3.13
C0002,C0044,2.72
C0002,C0045,1.12
C0002,C0047,1.0
C0002,C0048,1.5
C0002,C0049,1.36
C0002,C0051,1.99
C0002,C0052,1.0
C0002,C0053,1.5
C0002,C0054,2.2
C0002,C0055,1.77
C0002,C0056,1.44
C0002,C0057,2.0
C0002,C0058,1.83
C0002,C0059,1.51
C0002,C0061,2.05
C0002,C0062,1.43
C0002,C0063,1.5
C0002,C0065,1.54
C0002,C0067,1.17
C0002,C0068,1.62
C0002,C0070,1.4
C0002,C0072,1.42
C0002,C0073,1.75
C0002,C0074,1.53
C0002,C0075,1.0
C0002,C0076,1.25
C0002,C0078,1.95
C0002,C0079,1.33
C0002,C0081,1.5
C0002,C0083,3.17
C0002,C0084,1.0
C0002,C0085,3.17
C0002,C0087,1.41
C0002,C0089,2.17
C0002,C0091,3.25
C0002,C0092,1.0
C0002,C0093,2.11
C0002,C0094,3.21
C0002,C0096,1.0
C0002,C0098,1.88
C0002,C0103,1.33
C0002,C0104,3.0
C0002,C0105,1.56
C0002,C0107,2.0
C0002,C0108,1.5
C0002,C0109,1.5
C0002,C0110,1.55
C0002,C0111,1.33
C0002,C0113,1.33
C0002,C0114,1.72
C0002,C0115,1.5
C0002,C0117,2.52
C0002,C0118,1.58
C0002,C0119,2.12
C0002,C0120,1.0
C0002,C0121,1.78
C0002,C0122,1.45
C0002,C0123,1.77
C0002,C0124,2.25
C0002,C0127,1.33
C0002,C0128,1.0
C0002,C0129,1.75
C0002,C0130,3.1
C0002,C0131,1.5
C0002,C0132,1.65
C0002,C0133,1.85
C0002,C0134,1.61
C0002,C0135,1.9
C0002,C0136,1.83
C0002,C0137,3.13
C0002,C0138,1.42
C0002,C0139,1.59
C0002,C0140,2.0
C0002,C0141,1.5
C0002,C0143,1.78
C0002,C0144,1.69
C0002,C0145,1.97
C0002,C0146,2.9
C0003,C0001,1.78
C0003,C0002,1.51
C0003,C0003,1.63
C0003,C0004,1.87
C0003,C0005,1.82
C0003,C0006,1.82
C0003,C0007,1.73
C0003,C0008,1.78
C0003,C0009,1.9
C0003,C0010,1.81
C0003,C0011,1.38
C0003,C0012,1.67
C0003,C0013,1.59
C0003,C0014,1.85
C0003,C0015,1.93
C0003,C0016,1.77
C0003,C0017,1.51
C0003,C0019,1.25
C0003,C0020,1.76
C0003,C0021,1.0
C0003,C0022,1.0
C0003,C0023,1.67
C0003,C0024,2.46
C0003,C0026,1.17
C0003,C0027,1.0
C0003,C0028,2.25
C0003,C0029,1.83
C0003,C0030,2.5
C0003,C0031,1.6
C0003,C0032,2.79
C0003,C0033,1.46
C0003,C0034,1.61
C0003,C0035,1.33
C0003,C0036,1.0
C0003,C0037,2.0
C0003,C0038,1.46
C0003,C0039,2.21
C0003,C0040,1.5
C0003,C0041,1.82
C0003,C0042,1.86
C0003,C0044,1.0
C0003,C0045,1.75
C0003,C0046,1.47
C0003,C0047,1.21
C0003,C0049,1.81
C0003,C0050,2.06
C0003,C0051,1.61
C0003,C0052,2.1
C0003,C0053,1.71
C0003,C0054,1.85
C0003,C0055,1.47
C0003,C0056,1.45
C0003,C0057,1.44
C0003,C0058,2.08
C0003,C0059,2.09
C0003,C0060,1.5
C0003,C0061,2.35
C0003,C0062,1.79
C0003,C0063,1.33
C0003,C0064,1.25
C0003,C0065,1.55
C0003,C0067,1.65
C0003,C0068,2.06
C0003,C0070,2.06
C0003,C0071,1.33
C0003,C0072,1.82
C0003,C0073,1.33
C0003,C0074,2.36
C0003,C0075,1.5
C0003,C0076,1.0
C0003,C0078,1.93
C0003,C0079,1.5
C0003,C0081,1.23
C0003,C0082,2.12
C0003,C0083,1.67
C0003,C0084,1.17
C0003,C0085,1.38
C0003,C0086,1.33
C0003,C0087,1.78
C0003,C0088,1.11
C0003,C0090,1.33
C0003,C0091,4.45
C0003,C0093,1.25
C0003,C0094,1.67
C0003,C0095,2.83
C0003,C0096,1.27
C0003,C0097,1.5
C0003,C0098,1.61
C0003,C0099,2.11
C0003,C0100,2.25
C0003,C0101,1.33
C0003,C0102,2.21
C0003,C0103,2.48
C0003,C0104,1.44
C0003,C0105,1.49
C0003,C0107,1.5
C0003,C0108,1.17
C0003,C0109,1.25
C0003,C0110,1.97
C0003,C0111,1.33
C0003,C0112,2.5
C0003,C0113,2.72
C0003,C0114,1.67
C0003,C0115,1.33
C0003,C0116,1.28
C0003,C0117,1.79
C0003,C0118,1.7
C0003,C0119,1.81
C0003,C0120,1.74
C0003,C0121,1.61
C0003,C0122,1.73
C0003,C0123,1.56
C0003,C0124,2.45
C0003,C0125,1.0
C0003,C0126,1.93
C0003,C0127,1.44
C0003,C0128,1.5
C0003,C0129,1.7
C0003,C0130,1.44
C0003,C0131,1.33
C0003,C0132,1.74
C0003,C0133,1.9
C0003,C0134,1.73
C0003,C0135,2.08
C0003,C0136,2.23
C0003,C0137,1.45
C0003,C0138,1.84
C0003,C0139,1.6
C0003,C0140,1.95
C0003,C0141,1.0
C0003,C0143,1.86
C0003,C0144,1.9
C0003,C0145,1.75
C0003,C0146,1.6
C0004,C0001,1.77
C0004,C0002,1.69
C0004,C0003,1.71
C0004,C0004,1.73
C0004,C0005,1.68
C0004,C0006,2.01
C0004,C0007,1.91
C0004,C0008,1.67
C0004,C0009,1.95
C0004,C0010,1.64
C0004,C0011,1.7
C0004,C0012,1.46
C0004,C0013,1.69
C0004,C0014,1.65
C0004,C0015,1.65
C0004,C0016,1.83
C0004,C0017,1.69
C0004,C0019,1.81
C0004,C0020,1.33
C0004,C0021,1.24
C0004,C0022,1.94
C0004,C0023,1.44
C0004,C0024,1.44
C0004,C0025,2.4
C0004,C0026,1.6
C0004,C0027,1.43
C0004,C0028,1.65
C0004,C0029,1.36
C0004,C0030,1.72
C0004,C0031,1.84
C0004,C0032,2.11
C0004,C0033,1.78
C0004,C0034,2.12
C0004,C0035,1.53
C0004,C0037,1.17
C0004,C0038,1.83
C0004,C0039,2.29
C0004,C0040,2.07
C0004,C0041,1.47
C0004,C0042,2.03
C0004,C0043,2.68
C0004,C0044,1.92
C0004,C0045,1.64
C0004,C0046,1.67
C0004,C0047,1.78
C0004,C0048,1.8
C0004,C0049,1.77
C0004,C0050,1.0
C0004,C0051,1.88
C0004,C0052,1.83
C0004,C0053,1.6
C0004,C0054,1.51
C0004,C0055,1.6
C0004,C0056,1.54
C0004,C0057,1.54
C0004,C0058,1.87
C0004,C0059,1.94
C0004,C0060,1.17
C0004,C0061,1.76
C0004,C0062,1.47
C0004,C0063,1.53
C0004,C0064,1.56
C0004,C0065,1.9
C0004,C0066,1.0
C0004,C0067,1.93
C0004,C0068,3.29
C0004,C0069,1.92
C0004,C0070,1.55
C0004,C0071,1.22
C0004,C0072,2.09
C0004,C0073,1.58
C0004,C0074,1.51
C0004,C0075,1.47
C0004,C0076,1.85
C0004,C0078,1.46
C0004,C0079,2.08
C0004,C0080,1.0
C0004,C0081,1.88
C0004,C0082,1.5
C0004,C0083,1.0
C0004,C0084,1.5
C0004,C0085,1.59
C0004,C0086,1.63
C0004,C0087,2.11
C0004,C0088,1.29
C0004,C0089,1.97
C0004,C0090,1.3
C0004,C0091,3.22
C0004,C0092,1.55
C0004,C0093,1.93
C0004,C0094,1.95
C0004,C0095,1.78
C0004,C0096,1.47
C0004,C0097,1.67
C0004,C0098,1.4
C0004,C0099,1.83
C0004,C0100,2.0
C0004,C0101,1.68
C0004,C0102,2.24
C0004,C0103,1.38
C0004,C0104,1.42
C0004,C0105,1.48
C0004,C0106,1.67
C0004,C0107,1.7
C0004,C0108,1.5
C0004,C0109,1.4
C0004,C0110,1.4
C0004,C0111,1.45
C0004,C0112,2.39
C0004,C0113,1.58
C0004,C0114,1.46
C0004,C0115,1.89
C0004,C0116,1.38
C0004,C0117,1.8
C0004,C0118,1.94
C0004,C0119,1.81
C0004,C0120,1.67
C0004,C0121,2.0
C0004,C0122,1.58
C0004,C0123,1.54
C0004,C0124,1.75
C0004,C0125,2.88
C0004,C0126,1.86
C0004,C0127,1.65
C0004,C0128,1.8
C0004,C0129,1.78
C0004,C0130,1.7
C0004,C0131,2.17
C0004,C0132,1.88
C0004,C0133,1.86
C0004,C0134,1.87
C0004,C0135,1.49
C0004,C0136,1.8
C0004,C0137,1.93
C0004,C0138,2.32
C0004,C0139,1.79
C0004,C0140,2.44
C0004,C0141,2.17
C0004,C0142,1.62
C0004,C0143,1.94
C0004,C0144,1.78
C0004,C0145,1.47
C0004,C0146,1.77
C0005,C0001,1.85
C0005,C0002,1.69
C0005,C0003,1.92
C0005,C0004,1.81
C0005,C0005,1.74
C0005,C0006,1.82
C0005,C0007,1.94
C0005,C0008,1.68
C0005,C0009,1.74
C0005,C0010,1.75
C0005,C0011,3.76
C0005,C0012,1.73
C0005,C0013,2.04
C0005,C0014,1.71
C0005,C0015,2.04
C0005,C0016,1.92
C0005,C0017,1.69
C0005,C0019,2.3
C0005,C0020,1.73
C0005,C0021,1.33
C0005,C0022,2.14
C0005,C0023,1.46
C0005,C0024,1.0
C0005,C0025,1.5
C0005,C0026,1.75
C0005,C0027,2.38
C0005,C0028,1.77
C0005,C0029,2.07
C0005,C0030,1.91
C0005,C0031,1.75
C0005,C0032,1.53
C0005,C0033,1.7
C0005,C0034,2.19
C0005,C0035,1.57
C0005,C0036,1.58
C0005,C0037,2.6
C0005,C0038,1.54
C0005,C0039,1.9
C0005,C0040,2.13
C0005,C0041,1.84
C0005,C0042,2.0
C0005,C0043,3.6
C0005,C0044,3.31
C0005,C0045,1.65
C0005,C0046,1.58
C0005,C0047,1.19
C0005,C0048,2.55
C0005,C0049,1.72
C0005,C0050,1.79
C0005,C0051,1.91
C0005,C0052,1.82
C0005,C0053,1.66
C0005,C0054,1.61
C0005,C0055,1.52
C0005,C0056,1.67
C0005,C0057,1.47
C0005,C0058,1.83
C0005,C0059,1.83
C0005,C0060,1.98
C0005,C0061,1.71
C0005,C0062,1.61
C0005,C0063,1.43
C0005,C0064,2.01
C0005,C0065,1.9
C0005,C0066,1.67
C0005,C0067,1.98
C0005,C0068,1.65
C0005,C0069,1.75
C0005,C0070,1.41
C0005,C0071,1.76
C0005,C0072,1.58
C0005,C0073,1.57
C0005,C0074,1.17
C0005,C0075,1.58
C0005,C0076,2.42
C0005,C0077,1.33
C0005,C0078,1.49
C0005,C0079,1.83
C0005,C0080,2.33
C0005,C0081,6.22
C0005,C0082,1.5
C0005,C0083,1.98
C0005,C0084,1.28
C0005,C0085,1.55
C0005,C0086,1.84
C0005,C0087,1.93
C0005,C0088,1.5
C0005,C0089,2.14
C0005,C0090,2.04
C0005,C0091,2.25
C0005,C0092,1.73
C0005,C0093,1.27
C0005,C0094,1.11
C0005,C0095,2.5
C0005,C0096,1.46
C0005,C0097,1.47
C0005,C0098,1.55
C0005,C0099,1.5
C0005,C0100,1.87
C0005,C0101,2.0
C0005,C0102,2.35
C0005,C0103,1.73
C0005,C0104,1.59
C0005,C0105,1.54
C0005,C0106,2.0
C0005,C0107,1.65
C0005,C0108,1.45
C0005,C0109,1.54
C0005,C0110,2.63
C0005,C0111,1.61
C0005,C0112,2.19
C0005,C0113,2.4
C0005,C0114,1.68
C0005,C0115,2.27
C0005,C0116,1.48
C0005,C0117,2.03
C0005,C0118,1.92
C0005,C0119,1.72
C0005,C0120,1.89
C0005,C0121,2.03
C0005,C0122,1.66
C0005,C0123,1.55
C0005,C0124,1.88
C0005,C0125,1.91
C0005,C0126,2.19
C0005,C0127,1.67
C0005,C0128,1.62
C0005,C0129,1.99
C0005,C0130,1.86
C0005,C0131,2.26
C0005,C0132,1.99
C0005,C0133,2.26
C0005,C0134,2.12
C0005,C0135,2.0
C0005,C0136,1.99
C0005,C0137,1.86
C0005,C0138,2.3
C0005,C0139,1.89
C0005,C0140,1.76
C0005,C0141,1.4
C0005,C0142,1.58
C0005,C0143,1.72
C0005,C0144,1.75
C0005,C0145,1.67
C0005,C0146,1.67
C0006,C0001,1.78
C0006,C0002,2.02
C0006,C0003,1.88
C0006,C0004,1.64
C0006,C0005,1.59
C0006,C0006,1.71
C0006,C0007,2.02
C0006,C0008,1.59
C0006,C0009,1.69
C0006,C0010,1.75
C0006,C0011,1.86
C0006,C0012,1.52
C0006,C0013,1.68
C0006,C0014,1.61
C0006,C0015,1.79
C0006,C0016,1.91
C0006,C0017,2.02
C0006,C0019,1.81
C0006,C0020,2.14
C0006,C0021,1.4
C0006,C0022,2.04
C0006,C0023,2.26
C0006,C0024,1.33
C0006,C0025,1.5
C0006,C0026,1.49
C0006,C0027,1.25
C0006,C0028,1.97
C0006,C0029,1.68
C0006,C0030,1.3
C0006,C0031,1.53
C0006,C0032,1.29
C0006,C0033,1.72
C0006,C0034,1.72
C0006,C0035,1.61
C0006,C0036,2.78
C0006,C0037,1.98
C0006,C0038,2.23
C0006,C0039,1.92
C0006,C0040,2.05
C0006,C0041,1.5
C0006,C0042,2.05
C0006,C0043,1.83
C0006,C0044,1.33
C0006,C0045,1.48
C0006,C0046,1.32
C0006,C0047,2.38
C0006,C0048,2.47
C0006,C0049,1.48
C0006,C0050,1.58
C0006,C0051,1.72
C0006,C0052,1.74
C0006,C0053,1.64
C0006,C0054,1.45
C0006,C0055,1.43
C0006,C0056,1.59
C0006,C0057,1.79
C0006,C0058,1.78
C0006,C0059,1.75
C0006,C0060,1.71
C0006,C0061,1.42
C0006,C0062,1.41
C0006,C0063,2.42
C0006,C0064,1.57
C0006,C0065,1.62
C0006,C0066,1.58
C0006,C0067,1.82
C0006,C0068,1.8
C0006,C0069,1.5
C0006,C0070,1.53
C0006,C0071,1.0
C0006,C0072,1.93
C0006,C0073,1.39
C0006,C0074,1.52
C0006,C0075,1.69
C0006,C0076,1.69
C0006,C0077,1.22
C0006,C0078,1.36
C0006,C0079,2.28
C0006,C0080,2.08
C0006,C0081,1.25
C0006,C0082,2.48
C0006,C0083,1.95
C0006,C0084,1.44
C0006,C0085,1.58
C0006,C0086,1.88
C0006,C0087,1.96
C0006,C0088,1.64
C0006,C0089,1.62
C0006,C0090,1.42
C0006,C0091,1.8
C0006,C0092,1.27
C0006,C0093,2.78
C0006,C0094,1.61
C0006,C0095,1.22
C0006,C0096,1.12
C0006,C0097,1.27
C0006,C0098,1.48
C0006,C0099,2.06
C0006,C0100,2.11
C0006,C0101,1.26
C0006,C0102,2.26
C0006,C0103,1.71
C0006,C0104,1.43
C0006,C0105,1.55
C0006,C0106,1.5
C0006,C0107,1.54
C0006,C0108,1.47
C0006,C0109,1.34
C0006,C0110,1.62
C0006,C0111,1.91
C0006,C0112,1.95
C0006,C0113,1.43
C0006,C0114,1.79
C0006,C0115,1.81
C0006,C0116,1.5
C0006,C0117,2.01
C0006,C0118,1.59
C0006,C0119,1.59
C0006,C0120,1.41
C0006,C0121,1.73
C0006,C0122,1.62
C0006,C0123,1.44
C0006,C0124,1.83
C0006,C0125,2.02
C0006,C0126,2.04
C0006,C0127,1.67
C0006,C0128,1.2
C0006,C0129,1.65
C0006,C0130,1.66
C0006,C0131,1.5
C0006,C0132,1.72
C0006,C0133,2.27
C0006,C0134,2.15
C0006,C0135,1.77
C0006,C0136,1.42
C0006,C0137,2.05
C0006,C0138,1.68
C0006,C0139,1.56
C0006,C0140,1.59
C0006,C0141,1.75
C0006,C0142,1.37
C0006,C0143,1.64
C0006,C0144,1.58
C0006,C0145,1.67
C0006,C0146,1.6
C0007,C0001,1.7
C0007,C0002,1.72
C0007,C0003,1.96
C0007,C0004,1.82
C0007,C0005,1.64
C0007,C0006,1.78
C0007,C0007,1.74
C0007,C0008,1.61
C0007,C0009,1.72
C0007,C0010,1.58
C0007,C0011,1.75
C0007,C0012,1.73
C0007,C0013,1.88
C0007,C0014,1.61
C0007,C0015,1.74
C0007,C0016,1.78
C0007,C0017,1.72
C0007,C0019,1.92
C0007,C0020,2.42
C0007,C0021,1.32
C0007,C0022,1.53
C0007,C0023,1.43
C0007,C0024,1.58
C0007,C0025,2.25
C0007,C0026,1.66
C0007,C0027,2.23
C0007,C0028,2.15
C0007,C0029,1.98
C0007,C0030,1.72
C0007,C0031,1.72
C0007,C0032,1.85
C0007,C0033,1.51
C0007,C0034,1.84
C0007,C0035,1.51
C0007,C0036,1.65
C0007,C0037,1.29
C0007,C0038,2.13
C0007,C0039,2.26
C0007,C0040,1.83
C0007,C0041,1.91
C0007,C0042,1.6
C0007,C0043,1.58
C0007,C0044,2.39
C0007,C0045,1.49
C0007,C0046,1.51
C0007,C0047,1.47
C0007,C0048,1.72
C0007,C0049,1.61
C0007,C0050,1.35
C0007,C0051,1.79
C0007,C0052,1.81
C0007,C0053,1.58
C0007,C0054,1.57
C0007,C0055,1.66
C0007,C0056,1.52
C0007,C0057,1.67
C0007,C0058,1.5
C0007,C0059,1.6
C0007,C0060,1.77
C0007,C0061,1.76
C0007,C0062,1.52
C0007,C0063,1.81
C0007,C0064,1.34
C0007,C0065,1.81
C0007,C0066,1.51
C0007,C0067,2.0
C0007,C0068,1.97
C0007,C0069,1.0
C0007,C0070,1.82
C0007,C0071,1.98
C0007,C0072,1.68
C0007,C0073,1.53
C0007,C0074,1.37
C0007,C0075,1.89
C0007,C0076,1.63
C0007,C0077,1.78
C0007,C0078,1.39
C0007,C0079,1.61
C0007,C0080,2.22
C0007,C0081,1.63
C0007,C0082,2.15
C0007,C0083,1.96
C0007,C0084,1.76
C0007,C0085,1.81
C0007,C0086,1.54
C0007,C0087,1.87
C0007,C0088,1.22
C0007,C0089,1.45
C0007,C0090,3.93
C0007,C0091,1.17
C0007,C0092,1.59
C0007,C0093,1.44
C0007,C0094,1.88
C0007,C0095,2.0
C0007,C0096,1.75
C0007,C0097,1.77
C0007,C0098,1.5
C0007,C0099,1.78
C0007,C0100,1.58
C0007,C0101,1.22
C0007,C0102,2.07
C0007,C0103,1.53
C0007,C0104,1.61
C0007,C0105,1.55
C0007,C0106,1.58
C0007,C0107,1.74
C0007,C0108,1.69
C0007,C0109,1.36
C0007,C0110,1.71
C0007,C0111,1.8
C0007,C0112,1.83
C0007,C0113,2.37
C0007,C0114,1.44
C0007,C0115,1.53
C0007,C0116,1.6
C0007,C0117,1.8
C0007,C0118,1.79
C0007,C0119,1.75
C0007,C0120,1.68
C0007,C0121,1.82
C0007,C0122,1.57
C0007,C0123,1.72
C0007,C0124,1.32
C0007,C0125,2.2
C0007,C0126,2.38
C0007,C0127,1.5
C0007,C0128,1.67
C0007,C0129,1.64
C0007,C0130,2.07
C0007,C0131,1.65
C0007,C0132,1.74
C0007,C0133,1.89
C0007,C0134,1.8
C0007,C0135,1.77
C0007,C0136,1.83
C0007,C0137,1.79
C0007,C0138,1.72
C0007,C0139,1.75
C0007,C0140,1.92
C0007,C0141,1.99
C0007,C0142,1.71
C0007,C0143,1.69
C0007,C0144,1.81
C0007,C0145,1.75
C0007,C0146,1.7
C0008,C0001,1.78
C0008,C0002,1.79
C0008,C0003,1.81
C0008,C0004,1.78
C0008,C0005,1.73
C0008,C0006,1.93
C0008,C0007,1.98
C0008,C0008,1.65
C0008,C0009,1.69
C0008,C0010,1.83
C0008,C0011,2.32
C0008,C0012,1.73
C0008,C0013,1.9
C0008,C0014,1.71
C0008,C0015,1.84
C0008,C0016,1.86
C0008,C0017,1.79
C0008,C0019,1.99
C0008,C0020,1.7
C0008,C0021,1.47
C0008,C0022,2.01
C0008,C0023,1.65
C0008,C0024,1.45
C0008,C0025,1.51
C0008,C0026,1.86
C0008,C0027,2.27
C0008,C0028,1.76
C0008,C0029,1.69
C0008,C0030,2.21
C0008,C0031,1.69
C0008,C0032,1.59
C0008,C0033,1.61
C0008,C0034,2.13
C0008,C0035,1.83
C0008,C0036,1.92
C0008,C0037,3.46
C0008,C0038,1.62
C0008,C0039,1.94
C0008,C0040,2.08
C0008,C0041,1.86
C0008,C0042,2.16
C0008,C0043,2.32
C0008,C0044,2.17
C0008,C0045,1.58
C0008,C0046,1.63
C0008,C0047,1.58
C0008,C0048,2.43
C0008,C0049,1.63
C0008,C0050,1.88
C0008,C0051,1.91
C0008,C0052,1.81
C0008,C0053,1.58
C0008,C0054,1.5
C0008,C0055,1.54
C0008,C0056,1.55
C0008,C0057,1.63
C0008,C0058,1.72
C0008,C0059,1.76
C0008,C0060,1.68
C0008,C0061,1.83
C0008,C0062,1.7
C0008,C0063,1.44
C0008,C0064,1.74
C0008,C0065,1.82
C0008,C0066,1.61
C0008,C0067,1.89
C0008,C0068,1.71
C0008,C0069,1.42
C0008,C0070,1.47
C0008,C0071,1.46
C0008,C0072,1.58
C0008,C0073,1.53
C0008,C0074,1.27
C0008,C0075,1.84
C0008,C0076,1.93
C0008,C0077,1.35
C0008,C0078,1.62
C0008,C0079,2.08
C0008,C0080,1.71
C0008,C0081,3.09
C0008,C0082,2.09
C0008,C0083,1.96
C0008,C0084,1.56
C0008,C0085,1.67
C0008,C0086,1.64
C0008,C0087,1.89
C0008,C0088,1.57
C0008,C0089,2.07
C0008,C0090,1.62
C0008,C0091,2.04
C0008,C0092,1.65
C0008,C0093,1.64
C0008,C0094,1.65
C0008,C0095,1.94
C0008,C0096,1.88
C0008,C0097,1.69
C0008,C0098,1.65
C0008,C0099,1.6
C0008,C0100,2.13
C0008,C0101,1.53
C0008,C0102,2.08
C0008,C0103,1.78
C0008,C0104,1.63
C0008,C0105,1.53
C0008,C0106,1.65
C0008,C0107,1.55
C0008,C0108,1.5
C0008,C0109,1.72
C0008,C0110,1.91
C0008,C0111,1.74
C0008,C0112,2.0
C0008,C0113,2.06
C0008,C0114,1.71
C0008,C0115,1.91
C0008,C0116,1.73
C0008,C0117,1.91
C0008,C0118,1.82
C0008,C0119,1.78
C0008,C0120,1.61
C0008,C0121,2.02
C0008,C0122,1.57
C0008,C0123,1.57
C0008,C0124,1.78
C0008,C0125,1.9
C0008,C0126,1.98
C0008,C0127,2.12
C0008,C0128,1.44
C0008,C0129,1.77
C0008,C0130,1.74
C0008,C0131,1.94
C0008,C0132,1.88
C0008,C0133,2.06
C0008,C0134,1.93
C0008,C0135,1.83
C0008,C0136,1.88
C0008,C0137,2.12
C0008,C0138,2.02
C0008,C0139,1.79
C0008,C0140,1.79
C0008,C0141,1.59
C0008,C0142,2.01
C0008,C0143,1.87
C0008,C0144,1.75
C0008,C0145,1.65
C0008,C0146,1.67
C0009,C0001,1.77
C0009,C0002,1.99
C0009,C0003,1.72
C0009,C0004,1.89
C0009,C0005,1.7
C0009,C0006,1.87
C0009,C0007,1.91
C0009,C0008,1.66
C0009,C0009,1.64
C0009,C0010,1.79
C0009,C0011,1.73
C0009,C0012,1.7
C0009,C0013,1.8
C0009,C0014,1.71
C0009,C0015,1.86
C0009,C0016,1.87
C0009,C0017,1.99
C0009,C0019,1.94
C0009,C0020,1.98
C0009,C0021,1.56
C0009,C0022,1.28
C0009,C0023,1.65
C0009,C0024,1.44
C0009,C0025,2.0
C0009,C0026,2.67
C0009,C0027,2.09
C0009,C0028,1.86
C0009,C0029,1.61
C0009,C0030,2.07
C0009,C0031,1.88
C0009,C0032,1.84
C0009,C0033,1.71
C0009,C0034,2.06
C0009,C0035,1.45
C0009,C0036,1.98
C0009,C0037,2.19
C0009,C0038,2.13
C0009,C0039,2.0
C0009,C0040,1.85
C0009,C0041,1.59
C0009,C0042,1.95
C0009,C0043,1.25
C0009,C0044,1.67
C0009,C0045,1.81
C0009,C0046,1.81
C0009,C0047,1.74
C0009,C0048,2.29
C0009,C0049,1.69
C0009,C0050,2.12
C0009,C0051,1.81
C0009,C0052,1.83
C0009,C0053,1.56
C0009,C0054,1.47
C0009,C0055,1.56
C0009,C0056,1.58
C0009,C0057,2.0
